task_id	kl_div
0	0.0015083334874361753
1	0.0035295647103339434
2	0.003881858428940177
3	0.004376450087875128
4	0.0040183113887906075
5	0.0016606268472969532
6	0.003158913692459464
7	0.002929443959146738
8	0.000888955604750663
9	0.004362810403108597
10	0.0023113808128982782
11	0.004977442789822817
12	0.0012865544995293021
13	0.004129041451960802
14	0.0027103873435407877
15	0.00037255746428854764
16	0.0008738257456570864
17	0.0030573776457458735
18	0.00401582196354866
19	0.0022948302794247866
20	0.0008452011388726532
21	0.0023822493385523558
22	0.0007532002055086195
23	0.000564569141715765
24	0.003565120743587613
25	0.00030947470804676414
26	0.0022021401673555374
27	0.003161405446007848
28	0.0024078318383544683
29	0.0017466408899053931
30	0.001152767799794674
31	5.99143750150688e-05
32	0.0014672388788312674
33	0.0005731768906116486
34	3.135310180368833e-05
