task_id	kl_div
0	0.0021050218492746353
1	0.003936584107577801
2	0.0043779718689620495
3	0.004451869986951351
4	0.0043791960924863815
5	0.001845523715019226
6	0.0037872022949159145
7	0.0032479744404554367
8	0.0011910832254216075
9	0.0045629325322806835
10	0.0026431709993630648
11	0.006641808431595564
12	0.0012606318341568112
13	0.005455890204757452
14	0.0029873396269977093
15	0.00047254099627025425
16	0.0013564920518547297
17	0.0034468143712729216
18	0.0035000010393559933
19	0.0025005266070365906
20	0.0008974353550001979
21	0.0026652475353330374
22	0.0013594729825854301
23	0.0007725229952484369
24	0.0034363206941634417
25	0.0004287246847525239
26	0.0021778910886496305
27	0.0032157651148736477
28	0.002831600373610854
29	0.0016752838855609298
30	0.0015639293706044555
31	0.0001078629502444528
32	0.0016549330903217196
33	0.0007086311234161258
34	7.783664477756247e-05
