model,metric,cl_AA,cl_F,cl_Fen
coco/CL/B16_CLL_CLIP_Oracle1_ID1_REG1_gd/order222,txt_r5,67.6,10.2,2.9
coco/CL/B16_CLL_CLIP_Oracle1_ID1_REG1_gd/order222,txt_r10,77.2,8.8,2.1
coco/CL/B16_CLL_CLIP_Oracle1_ID1_REG1_gd/order222,img_r1,23.2,7.9,3.2
coco/CL/B16_CLL_CLIP_Oracle1_ID1_REG1_gd/order222,img_r5,46.1,11.1,3.6
coco/CL/B16_CLL_CLIP_Oracle1_ID1_REG1_gd/order222,img_r10,57.3,11.1,3.3
coco/CL/B16_CLL_CLIP_Oracle1_ID1_REG1_gd/order222,r_mean,52.3,9.9,2.8
coco/CL/B16_CLL_CLIP_with_TEIR/order222,txt_r1,38.3,14.7,3.6
coco/CL/B16_CLL_CLIP_with_TEIR/order222,txt_r5,62.3,15.6,2.2
coco/CL/B16_CLL_CLIP_with_TEIR/order222,txt_r10,72.1,13.9,1.6
coco/CL/B16_CLL_CLIP_with_TEIR/order222,img_r1,20.5,10.5,3.8
coco/CL/B16_CLL_CLIP_with_TEIR/order222,img_r5,41.6,15.6,4.1
coco/CL/B16_CLL_CLIP_with_TEIR/order222,img_r10,52.3,16.2,3.7
coco/CL/B16_CLL_CLIP_with_TEIR/order222,r_mean,47.8,14.4,3.1
coco/CL/B16_CodaPrompt/order222,txt_r1,28.9,22.6,8.8
coco/CL/B16_CodaPrompt/order222,txt_r5,51.1,25.8,7.6
coco/CL/B16_CodaPrompt/order222,txt_r10,61.2,24.2,5.6
coco/CL/B16_CodaPrompt/order222,img_r1,14.4,15.2,8.0
coco/CL/B16_CodaPrompt/order222,img_r5,31.5,24.3,10.1
coco/CL/B16_CodaPrompt/order222,img_r10,41.2,26.1,9.6
coco/CL/B16_CodaPrompt/order222,r_mean,38.0,23.0,8.3
coco/CL/B16_CodaPrompt_with_TEIR/order222,txt_r1,41.4,9.7,2.2
coco/CL/B16_CodaPrompt_with_TEIR/order222,txt_r5,66.7,9.8,1.5
coco/CL/B16_CodaPrompt_with_TEIR/order222,txt_r10,76.6,8.3,1.0
coco/CL/B16_CodaPrompt_with_TEIR/order222,img_r1,22.3,7.1,1.7
coco/CL/B16_CodaPrompt_with_TEIR/order222,img_r5,45.0,10.3,2.0
coco/CL/B16_CodaPrompt_with_TEIR/order222,img_r10,56.3,10.5,1.9
coco/CL/B16_CodaPrompt_with_TEIR/order222,r_mean,51.4,9.2,1.6
coco/CL/B16_DER/order222,txt_r1,37.6,14.6,3.6
coco/CL/B16_DER/order222,txt_r5,62.9,14.4,2.9
coco/CL/B16_DER/order222,txt_r10,73.3,12.2,2.0
coco/CL/B16_DER/order222,img_r1,19.5,10.6,3.4
coco/CL/B16_DER/order222,img_r5,40.9,15.2,3.8
coco/CL/B16_DER/order222,img_r10,52.1,15.3,3.2
coco/CL/B16_DER/order222,r_mean,47.7,13.7,3.1
coco/CL/B16_DER_with_TEIR/order222,txt_r1,42.7,9.4,1.8
coco/CL/B16_DER_with_TEIR/order222,txt_r5,68.2,8.9,1.3
coco/CL/B16_DER_with_TEIR/order222,txt_r10,77.9,7.4,1.0
coco/CL/B16_DER_with_TEIR/order222,img_r1,23.4,6.9,1.5
coco/CL/B16_DER_with_TEIR/order222,img_r5,46.7,9.6,1.9
coco/CL/B16_DER_with_TEIR/order222,img_r10,58.0,9.5,1.5
coco/CL/B16_DER_with_TEIR/order222,r_mean,52.8,8.6,1.4
coco/CL/B16_DualPrompt/order222,txt_r1,28.4,23.6,9.3
coco/CL/B16_DualPrompt/order222,txt_r5,49.7,27.6,8.1
coco/CL/B16_DualPrompt/order222,txt_r10,59.4,26.1,6.2
coco/CL/B16_DualPrompt/order222,img_r1,14.1,15.8,8.6
coco/CL/B16_DualPrompt/order222,img_r5,30.7,25.4,10.3
coco/CL/B16_DualPrompt/order222,img_r10,40.0,27.5,9.1
coco/CL/B16_DualPrompt/order222,r_mean,37.1,24.3,8.5
coco/CL/B16_DualPrompt_with_TEIR/order222,txt_r1,38.3,14.0,3.1
coco/CL/B16_DualPrompt_with_TEIR/order222,txt_r5,62.4,15.0,1.8
coco/CL/B16_DualPrompt_with_TEIR/order222,txt_r10,72.2,13.4,1.5
coco/CL/B16_DualPrompt_with_TEIR/order222,img_r1,19.7,10.6,3.1
coco/CL/B16_DualPrompt_with_TEIR/order222,img_r5,40.6,15.9,3.6
coco/CL/B16_DualPrompt_with_TEIR/order222,img_r10,51.3,16.5,3.1
coco/CL/B16_DualPrompt_with_TEIR/order222,r_mean,47.4,14.2,2.6
coco/CL/B16_ER/order222,txt_r1,34.1,17.9,3.9
coco/CL/B16_ER/order222,txt_r5,58.7,18.4,3.4
coco/CL/B16_ER/order222,txt_r10,69.2,16.2,2.9
coco/CL/B16_ER/order222,img_r1,17.8,12.3,3.5
coco/CL/B16_ER/order222,img_r5,37.9,18.1,4.1
coco/CL/B16_ER/order222,img_r10,48.7,18.6,3.8
coco/CL/B16_ER/order222,r_mean,44.4,16.9,3.6
coco/CL/B16_ER_with_TEIR/order222,txt_r1,39.3,12.8,2.6
coco/CL/B16_ER_with_TEIR/order222,txt_r5,64.4,12.7,2.0
coco/CL/B16_ER_with_TEIR/order222,txt_r10,74.4,11.0,1.8
coco/CL/B16_ER_with_TEIR/order222,img_r1,21.5,8.8,1.8
coco/CL/B16_ER_with_TEIR/order222,img_r5,43.6,12.6,2.2
coco/CL/B16_ER_with_TEIR/order222,img_r10,54.7,12.8,2.0
coco/CL/B16_ER_with_TEIR/order222,r_mean,49.6,11.8,2.0
coco/CL/B16_LoRA/order222,txt_r1,31.8,22.5,13.8
coco/CL/B16_LoRA/order222,txt_r5,54.4,24.9,11.3
coco/CL/B16_LoRA/order222,txt_r10,64.2,23.0,9.3
coco/CL/B16_LoRA/order222,img_r1,16.2,15.9,10.7
coco/CL/B16_LoRA/order222,img_r5,34.4,24.5,13.4
coco/CL/B16_LoRA/order222,img_r10,44.1,26.0,12.2
coco/CL/B16_LoRA/order222,r_mean,40.8,22.8,11.7
coco/CL/B16_LoRA_with_TEIR/order222,txt_r1,41.6,12.9,5.2
coco/CL/B16_LoRA_with_TEIR/order222,txt_r5,66.3,13.2,4.3
coco/CL/B16_LoRA_with_TEIR/order222,txt_r10,75.7,11.6,3.6
coco/CL/B16_LoRA_with_TEIR/order222,img_r1,22.8,9.7,5.0
coco/CL/B16_LoRA_with_TEIR/order222,img_r5,45.2,14.0,5.5
coco/CL/B16_LoRA_with_TEIR/order222,img_r10,56.0,14.3,5.0
coco/CL/B16_LoRA_with_TEIR/order222,r_mean,51.3,12.6,4.7
coco/CL/B16_MLA/order222,txt_r1,35.9,20.9,14.5
coco/CL/B16_MLA/order222,txt_r5,59.4,22.1,12.4
coco/CL/B16_MLA/order222,txt_r10,69.2,19.7,9.8
coco/CL/B16_MLA/order222,img_r1,18.4,15.0,12.1
coco/CL/B16_MLA/order222,img_r5,38.1,22.5,15.0
coco/CL/B16_MLA/order222,img_r10,48.4,23.5,13.6
coco/CL/B16_MLA/order222,r_mean,44.9,20.6,12.9
coco/CL/B16_MLA_with_TEIR/order222,txt_r1,46.0,11.2,5.6
coco/CL/B16_MLA_with_TEIR/order222,txt_r5,71.0,10.5,4.1
coco/CL/B16_MLA_with_TEIR/order222,txt_r10,80.2,8.6,3.0
coco/CL/B16_MLA_with_TEIR/order222,img_r1,25.2,8.6,4.8
coco/CL/B16_MLA_with_TEIR/order222,img_r5,48.9,12.0,5.6
coco/CL/B16_MLA_with_TEIR/order222,img_r10,60.1,12.0,4.8
coco/CL/B16_MLA_with_TEIR/order222,r_mean,55.2,10.5,4.6
coco/CL/B16_P_Tuning/order222,txt_r1,30.1,23.9,22.0
coco/CL/B16_P_Tuning/order222,txt_r5,52.4,26.7,20.4
coco/CL/B16_P_Tuning/order222,txt_r10,62.4,24.7,17.6
coco/CL/B16_P_Tuning/order222,img_r1,15.0,16.3,15.9
coco/CL/B16_P_Tuning/order222,img_r5,32.7,25.4,21.9
coco/CL/B16_P_Tuning/order222,img_r10,42.5,27.0,21.2
coco/CL/B16_P_Tuning/order222,r_mean,39.2,24.0,19.8
coco/CL/B16_P_Tuning_with_TEIR/order222,txt_r1,41.1,13.3,10.4
coco/CL/B16_P_Tuning_with_TEIR/order222,txt_r5,65.9,13.4,9.4
coco/CL/B16_P_Tuning_with_TEIR/order222,txt_r10,75.5,11.7,7.0
coco/CL/B16_P_Tuning_with_TEIR/order222,img_r1,22.2,9.6,8.9
coco/CL/B16_P_Tuning_with_TEIR/order222,img_r5,44.6,14.0,11.1
coco/CL/B16_P_Tuning_with_TEIR/order222,img_r10,55.5,14.3,10.3
coco/CL/B16_P_Tuning_with_TEIR/order222,r_mean,50.8,12.7,9.5
coco/CL/B16_oEWC/order222,txt_r1,37.0,15.7,7.7
coco/CL/B16_oEWC/order222,txt_r5,61.5,16.2,6.9
coco/CL/B16_oEWC/order222,txt_r10,71.3,14.6,4.5
coco/CL/B16_oEWC/order222,img_r1,19.3,11.3,6.1
coco/CL/B16_oEWC/order222,img_r5,40.0,16.8,7.1
coco/CL/B16_oEWC/order222,img_r10,50.7,17.4,6.6
coco/CL/B16_oEWC/order222,r_mean,46.6,15.3,6.5
coco/CL/B16_oEWC_with_TEIR/order222,txt_r1,40.2,12.7,3.4
coco/CL/B16_oEWC_with_TEIR/order222,txt_r5,64.9,12.9,2.7
coco/CL/B16_oEWC_with_TEIR/order222,txt_r10,74.5,11.4,2.0
coco/CL/B16_oEWC_with_TEIR/order222,img_r1,21.6,9.3,3.1
coco/CL/B16_oEWC_with_TEIR/order222,img_r5,43.5,13.7,3.8
coco/CL/B16_oEWC_with_TEIR/order222,img_r10,54.5,14.0,3.6
coco/CL/B16_oEWC_with_TEIR/order222,r_mean,49.9,12.3,3.0
