model,metric,ar,bn,cs,da,de,el,en,es,fa,fi,fil,fr,he,hi,hr,hu,id,it,ja,ko,mi,nl,no,pl,pt,quz,ro,ru,sv,sw,te,th,tr,uk,vi,zh,Average
coco/MT/JointTrain_CLL_CLIP,txt_r1,46.1,21.1,48.7,59.7,63.1,51.6,52.2,57.6,55.1,53.8,46.6,61.8,58.5,26.0,57.1,54.8,63.4,59.1,58.5,49.9,21.0,53.3,59.8,55.4,56.2,19.3,58.5,60.4,58.1,41.4,22.0,49.7,51.3,57.2,61.4,55.8,50.7
coco/MT/JointTrain_CLL_CLIP,txt_r5,72.5,42.7,73.7,84.5,86.3,78.1,78.4,83.4,81.0,79.0,73.4,86.0,82.8,46.9,81.3,79.8,87.4,83.3,83.9,76.2,41.6,79.3,84.9,79.9,82.0,38.6,82.8,84.8,83.0,68.2,45.1,76.9,76.8,81.0,86.4,82.0,75.4
coco/MT/JointTrain_CLL_CLIP,txt_r10,82.5,51.7,81.9,90.9,92.4,86.0,86.7,90.4,88.4,86.7,82.2,92.1,89.6,57.8,88.6,87.1,92.9,89.6,90.5,84.6,51.6,86.2,91.5,87.4,89.4,49.6,89.4,90.9,90.1,77.2,54.9,85.6,85.4,88.2,92.4,88.6,83.1
coco/MT/JointTrain_CLL_CLIP,img_r1,32.5,16.1,34.7,45.8,46.1,37.3,40.1,42.4,40.5,39.8,32.3,47.0,42.8,14.3,41.5,41.3,47.7,43.5,44.0,36.1,16.4,38.4,44.8,40.8,42.6,11.1,42.8,45.0,43.4,28.3,14.0,35.2,37.7,42.2,46.1,42.4,37.1
coco/MT/JointTrain_CLL_CLIP,img_r5,58.2,35.1,60.2,71.5,72.0,63.1,67.3,69.8,67.1,64.7,58.2,73.6,68.2,31.3,66.7,66.1,75.2,69.9,69.6,61.5,34.5,65.0,72.7,66.3,69.9,23.5,68.5,72.3,69.8,52.8,31.9,61.2,63.4,68.5,73.2,69.2,62.0
coco/MT/JointTrain_CLL_CLIP,img_r10,68.2,43.4,69.9,80.1,80.1,72.7,76.4,79.1,76.7,73.9,67.8,81.8,77.3,40.3,75.7,75.2,83.3,78.6,79.2,71.4,44.1,74.6,80.9,75.5,78.3,31.1,76.7,80.8,78.4,62.7,41.3,71.4,72.6,77.1,81.4,78.0,71.0
coco/MT/JointTrain_CLL_CLIP,r_mean,60.0,35.0,61.5,72.1,73.3,64.8,66.8,70.5,68.1,66.3,60.1,73.7,69.9,36.1,68.5,67.4,75.0,70.6,70.9,63.3,34.9,66.1,72.4,67.6,69.7,28.8,69.8,72.4,70.5,55.1,34.9,63.3,64.5,69.0,73.5,69.3,63.2
