model,metric,cl_AA,cl_F,cl_Fen
coco/CL/B16_CLL_CLIP_Oracle1_ID1_REG1_gd/order222,txt_r5,62.3,12.8,6.5
coco/CL/B16_CLL_CLIP_Oracle1_ID1_REG1_gd/order222,txt_r10,71.2,11.5,5.3
coco/CL/B16_CLL_CLIP_Oracle1_ID1_REG1_gd/order222,img_r1,27.1,10.0,7.1
coco/CL/B16_CLL_CLIP_Oracle1_ID1_REG1_gd/order222,img_r5,48.9,13.0,7.4
coco/CL/B16_CLL_CLIP_Oracle1_ID1_REG1_gd/order222,img_r10,58.0,12.9,5.9
coco/CL/B16_CLL_CLIP_Oracle1_ID1_REG1_gd/order222,r_mean,51.0,12.0,6.6
coco/CL/B16_CLL_CLIP_with_TEIR/order222,txt_r1,35.0,15.3,8.3
coco/CL/B16_CLL_CLIP_with_TEIR/order222,txt_r5,57.7,17.3,6.1
coco/CL/B16_CLL_CLIP_with_TEIR/order222,txt_r10,66.4,16.4,5.0
coco/CL/B16_CLL_CLIP_with_TEIR/order222,img_r1,24.3,12.5,7.4
coco/CL/B16_CLL_CLIP_with_TEIR/order222,img_r5,44.7,17.0,7.1
coco/CL/B16_CLL_CLIP_with_TEIR/order222,img_r10,53.4,17.3,6.4
coco/CL/B16_CLL_CLIP_with_TEIR/order222,r_mean,46.9,15.9,6.7
coco/CL/B16_CodaPrompt/order222,txt_r1,24.6,22.2,16.1
coco/CL/B16_CodaPrompt/order222,txt_r5,44.3,27.6,12.9
coco/CL/B16_CodaPrompt/order222,txt_r10,52.8,27.2,11.2
coco/CL/B16_CodaPrompt/order222,img_r1,15.9,17.6,12.3
coco/CL/B16_CodaPrompt/order222,img_r5,31.9,25.8,13.5
coco/CL/B16_CodaPrompt/order222,img_r10,39.5,27.5,12.6
coco/CL/B16_CodaPrompt/order222,r_mean,34.8,24.6,13.1
coco/CL/B16_CodaPrompt_with_TEIR/order222,txt_r1,36.7,9.3,5.4
coco/CL/B16_CodaPrompt_with_TEIR/order222,txt_r5,60.2,10.8,3.7
coco/CL/B16_CodaPrompt_with_TEIR/order222,txt_r10,69.3,10.1,2.8
coco/CL/B16_CodaPrompt_with_TEIR/order222,img_r1,25.3,7.9,4.3
coco/CL/B16_CodaPrompt_with_TEIR/order222,img_r5,46.7,10.7,4.0
coco/CL/B16_CodaPrompt_with_TEIR/order222,img_r10,55.8,11.0,3.8
coco/CL/B16_CodaPrompt_with_TEIR/order222,r_mean,49.0,9.9,4.0
coco/CL/B16_DER/order222,txt_r1,31.6,17.4,8.9
coco/CL/B16_DER/order222,txt_r5,54.0,19.9,7.7
coco/CL/B16_DER/order222,txt_r10,63.0,18.9,6.2
coco/CL/B16_DER/order222,img_r1,21.0,14.4,8.5
coco/CL/B16_DER/order222,img_r5,40.3,19.7,8.2
coco/CL/B16_DER/order222,img_r10,48.9,20.3,7.2
coco/CL/B16_DER/order222,r_mean,43.1,18.4,7.8
coco/CL/B16_DER_with_TEIR/order222,txt_r1,38.3,10.9,4.6
coco/CL/B16_DER_with_TEIR/order222,txt_r5,61.9,12.1,4.1
coco/CL/B16_DER_with_TEIR/order222,txt_r10,70.6,11.3,3.2
coco/CL/B16_DER_with_TEIR/order222,img_r1,26.7,9.3,4.2
coco/CL/B16_DER_with_TEIR/order222,img_r5,48.3,12.2,3.8
coco/CL/B16_DER_with_TEIR/order222,img_r10,57.3,12.4,3.6
coco/CL/B16_DER_with_TEIR/order222,r_mean,50.5,11.3,3.9
coco/CL/B16_DualPrompt/order222,txt_r1,25.5,22.9,17.4
coco/CL/B16_DualPrompt/order222,txt_r5,45.2,28.2,17.9
coco/CL/B16_DualPrompt/order222,txt_r10,53.6,27.9,14.2
coco/CL/B16_DualPrompt/order222,img_r1,16.4,18.4,14.9
coco/CL/B16_DualPrompt/order222,img_r5,32.6,26.6,17.6
coco/CL/B16_DualPrompt/order222,img_r10,40.4,28.3,17.0
coco/CL/B16_DualPrompt/order222,r_mean,35.6,25.4,16.5
coco/CL/B16_DualPrompt_with_TEIR/order222,txt_r1,35.3,14.1,9.4
coco/CL/B16_DualPrompt_with_TEIR/order222,txt_r5,58.1,16.3,6.4
coco/CL/B16_DualPrompt_with_TEIR/order222,txt_r10,66.8,15.4,5.2
coco/CL/B16_DualPrompt_with_TEIR/order222,img_r1,23.6,12.1,7.7
coco/CL/B16_DualPrompt_with_TEIR/order222,img_r5,43.7,16.7,7.8
coco/CL/B16_DualPrompt_with_TEIR/order222,img_r10,52.5,17.2,7.1
coco/CL/B16_DualPrompt_with_TEIR/order222,r_mean,46.7,15.3,7.3
coco/CL/B16_ER/order222,txt_r1,29.0,20.0,9.8
coco/CL/B16_ER/order222,txt_r5,50.4,23.6,8.9
coco/CL/B16_ER/order222,txt_r10,59.4,22.6,7.4
coco/CL/B16_ER/order222,img_r1,19.4,16.0,9.5
coco/CL/B16_ER/order222,img_r5,37.6,22.5,10.3
coco/CL/B16_ER/order222,img_r10,46.0,23.3,8.8
coco/CL/B16_ER/order222,r_mean,40.3,21.3,9.1
coco/CL/B16_ER_with_TEIR/order222,txt_r1,35.4,13.9,6.5
coco/CL/B16_ER_with_TEIR/order222,txt_r5,58.4,15.8,5.0
coco/CL/B16_ER_with_TEIR/order222,txt_r10,67.1,14.9,3.8
coco/CL/B16_ER_with_TEIR/order222,img_r1,24.7,11.2,6.1
coco/CL/B16_ER_with_TEIR/order222,img_r5,45.5,15.2,5.8
coco/CL/B16_ER_with_TEIR/order222,img_r10,54.3,15.4,5.3
coco/CL/B16_ER_with_TEIR/order222,r_mean,47.6,14.4,5.4
coco/CL/B16_LoRA/order222,txt_r1,28.0,22.7,19.8
coco/CL/B16_LoRA/order222,txt_r5,48.8,26.9,18.9
coco/CL/B16_LoRA/order222,txt_r10,57.3,26.1,16.1
coco/CL/B16_LoRA/order222,img_r1,18.7,18.9,16.2
coco/CL/B16_LoRA/order222,img_r5,36.2,26.5,18.4
coco/CL/B16_LoRA/order222,img_r10,44.2,27.6,16.7
coco/CL/B16_LoRA/order222,r_mean,38.9,24.8,17.7
coco/CL/B16_LoRA_with_TEIR/order222,txt_r1,38.0,13.9,10.6
coco/CL/B16_LoRA_with_TEIR/order222,txt_r5,61.6,15.2,8.0
coco/CL/B16_LoRA_with_TEIR/order222,txt_r10,70.2,14.2,6.3
coco/CL/B16_LoRA_with_TEIR/order222,img_r1,27.0,11.7,8.2
coco/CL/B16_LoRA_with_TEIR/order222,img_r5,48.6,15.4,8.3
coco/CL/B16_LoRA_with_TEIR/order222,img_r10,57.5,15.4,7.1
coco/CL/B16_LoRA_with_TEIR/order222,r_mean,50.5,14.3,8.1
coco/CL/B16_MLA/order222,txt_r1,30.7,21.8,21.8
coco/CL/B16_MLA/order222,txt_r5,52.2,25.3,21.2
coco/CL/B16_MLA/order222,txt_r10,61.0,24.2,18.0
coco/CL/B16_MLA/order222,img_r1,20.6,18.1,17.3
coco/CL/B16_MLA/order222,img_r5,39.2,25.0,21.4
coco/CL/B16_MLA/order222,img_r10,47.6,25.7,19.9
coco/CL/B16_MLA/order222,r_mean,41.9,23.3,19.9
coco/CL/B16_MLA_with_TEIR/order222,txt_r1,41.1,12.3,11.2
coco/CL/B16_MLA_with_TEIR/order222,txt_r5,65.1,13.1,9.5
coco/CL/B16_MLA_with_TEIR/order222,txt_r10,73.6,12.0,7.4
coco/CL/B16_MLA_with_TEIR/order222,img_r1,29.0,10.7,9.3
coco/CL/B16_MLA_with_TEIR/order222,img_r5,51.5,13.8,9.5
coco/CL/B16_MLA_with_TEIR/order222,img_r10,60.5,13.7,8.4
coco/CL/B16_MLA_with_TEIR/order222,r_mean,53.5,12.6,9.2
coco/CL/B16_P_Tuning/order222,txt_r1,24.9,23.9,29.4
coco/CL/B16_P_Tuning/order222,txt_r5,44.8,29.1,31.5
coco/CL/B16_P_Tuning/order222,txt_r10,53.4,28.7,27.2
coco/CL/B16_P_Tuning/order222,img_r1,16.4,19.3,24.0
coco/CL/B16_P_Tuning/order222,img_r5,32.8,27.8,30.2
coco/CL/B16_P_Tuning/order222,img_r10,40.7,29.2,29.5
coco/CL/B16_P_Tuning/order222,r_mean,35.5,26.3,28.6
coco/CL/B16_P_Tuning_with_TEIR/order222,txt_r1,35.5,13.8,17.0
coco/CL/B16_P_Tuning_with_TEIR/order222,txt_r5,59.0,15.4,15.9
coco/CL/B16_P_Tuning_with_TEIR/order222,txt_r10,68.0,14.4,11.9
coco/CL/B16_P_Tuning_with_TEIR/order222,img_r1,25.4,11.5,13.5
coco/CL/B16_P_Tuning_with_TEIR/order222,img_r5,46.5,15.3,14.9
coco/CL/B16_P_Tuning_with_TEIR/order222,img_r10,55.5,15.4,13.9
coco/CL/B16_P_Tuning_with_TEIR/order222,r_mean,48.3,14.3,14.5
coco/CL/B16_oEWC/order222,txt_r1,32.3,17.2,13.2
coco/CL/B16_oEWC/order222,txt_r5,54.7,19.7,11.5
coco/CL/B16_oEWC/order222,txt_r10,63.6,18.7,9.5
coco/CL/B16_oEWC/order222,img_r1,21.8,14.1,10.9
coco/CL/B16_oEWC/order222,img_r5,41.4,19.4,12.0
coco/CL/B16_oEWC/order222,img_r10,50.0,19.9,11.4
coco/CL/B16_oEWC/order222,r_mean,44.0,18.1,11.4
coco/CL/B16_oEWC_with_TEIR/order222,txt_r1,36.7,13.4,8.2
coco/CL/B16_oEWC_with_TEIR/order222,txt_r5,59.9,15.0,5.9
coco/CL/B16_oEWC_with_TEIR/order222,txt_r10,68.6,14.1,4.3
coco/CL/B16_oEWC_with_TEIR/order222,img_r1,25.6,11.2,6.5
coco/CL/B16_oEWC_with_TEIR/order222,img_r5,46.4,15.1,6.4
coco/CL/B16_oEWC_with_TEIR/order222,img_r10,55.3,15.3,5.4
coco/CL/B16_oEWC_with_TEIR/order222,r_mean,48.7,14.0,6.1
