model,metric,ar,bn,cs,da,de,el,en,es,fa,fi,fil,fr,he,hi,hr,hu,id,it,ja,ko,mi,nl,no,pl,pt,quz,ro,ru,sv,sw,te,th,tr,uk,vi,zh,Average
coco/MT/JointTrain_CLL_CLIP,txt_r1,53.2,45.0,54.0,55.2,54.7,55.1,56.4,54.6,54.2,53.1,55.2,55.5,53.6,46.3,53.8,52.8,54.7,54.7,53.5,53.1,50.9,54.8,54.9,54.4,55.0,51.7,55.0,54.6,54.6,52.9,43.4,51.0,53.7,55.2,54.1,53.7,53.3
coco/MT/JointTrain_CLL_CLIP,txt_r5,77.5,71.9,78.8,79.6,79.1,79.6,80.0,79.5,78.9,77.9,79.3,80.1,78.4,73.0,77.9,77.9,78.8,78.9,78.4,78.4,76.8,78.7,79.3,78.8,79.5,77.4,78.9,79.5,79.4,77.4,69.0,76.4,77.4,79.8,78.2,79.0,78.0
coco/MT/JointTrain_CLL_CLIP,txt_r10,86.2,81.5,87.1,87.4,86.6,87.2,87.7,87.6,86.5,86.0,87.0,87.0,86.7,83.0,86.3,86.0,86.3,87.4,86.4,86.4,84.6,86.7,87.2,87.0,87.2,85.6,86.9,87.5,86.9,86.0,79.2,84.9,86.0,87.8,86.6,86.3,86.2
coco/MT/JointTrain_CLL_CLIP,img_r1,30.9,24.1,32.0,33.5,33.2,33.6,35.2,33.2,32.3,30.6,33.3,33.3,31.7,25.3,31.7,31.3,32.4,32.7,31.6,31.3,28.8,32.8,33.3,32.0,32.7,29.7,32.5,32.6,32.9,30.4,22.5,28.6,31.1,32.3,32.2,32.4,31.4
coco/MT/JointTrain_CLL_CLIP,img_r5,57.3,49.0,58.3,59.7,59.4,59.9,61.6,59.7,58.9,56.9,59.5,59.9,58.3,51.3,58.0,57.7,58.7,59.3,58.0,57.8,54.5,59.4,59.5,58.3,59.4,55.7,58.4,59.2,59.2,56.7,47.0,54.7,57.3,58.8,58.6,58.8,57.6
coco/MT/JointTrain_CLL_CLIP,img_r10,68.9,61.3,69.7,70.9,70.2,70.6,71.9,70.4,70.0,68.2,70.4,70.7,69.4,62.9,69.2,69.1,69.8,70.2,68.9,68.8,66.2,70.1,70.5,69.5,70.3,67.0,69.7,70.0,70.1,68.1,58.9,66.5,68.6,70.3,69.4,69.6,68.8
coco/MT/JointTrain_CLL_CLIP,r_mean,62.3,55.5,63.3,64.4,63.9,64.3,65.5,64.2,63.5,62.1,64.1,64.4,63.0,57.0,62.8,62.5,63.5,63.9,62.8,62.6,60.3,63.7,64.1,63.3,64.0,61.2,63.5,63.9,63.8,61.9,53.3,60.3,62.3,64.0,63.2,63.3,62.6
